TEXT;LABEL
meine dame und herr , ich sein absehen , wann mohammed der rennen auch in deutschland endgültig gewinnen werden .;RACISM
anstatt dass der familienministerin gegen dies tatsächlich von mensch gemacht bevölkerungswandel vorgehen , bejubeln ich , dass , wie bis vor kurzem , jed freitag von deutsch kind , der im eigen land immer wenig werden , gegen einen vermeintlich menschengemachte co2-krise angehüpft werden .;RACISM
der grüne wollen , dass aus deutschland innerafrika werden .;RACISM
dass in dies land einen deutsch mehrheitsgesellschaft leben , nicht mit einer dreijährigen aufenthalt , sondern mit einer in jahrhundert gewachsen tradition , interessieren der fraktion der inländerfeinde nicht .;RACISM
schließlich der schattenseite der vielfalt : integration , schulische leistung und im arbeitsmarkt mangelhaft , aber überdurchschnittlich in der kriminalitätsstatistik .;RACISM
ich forcieren der multikulturelle gesellschaft und geben sich eigen land und mein eigene kultur kampflos auf , zugunsten von parallelgesellschaften , der mein bestehend ordnung täglich neu herausfordern .;RACISM
"schütze ich kleine muslimische mädchen vor der kopftuchzwang und deutschland vor weit parallelgesellschaften , denn ich sein immer noch sich land .";RACISM
der kopftuch sein einen politisch symbol und auf der engste mit der islamismus verbinden , der seinerseits mit der verfassungsmäßig ordnung mein land unvereinbar sein .;RACISM
derjenige , der einen kopftuch tragen , stehen nicht zu dies verfassung .;RACISM
diese leute sein aber nicht friedlich , weil ich muslim sein , sondern obwohl ich muslim sein .;RACISM
in anbetracht der 5 million zusätzlich arbeitslose , der danken mein verheerend versagen in der coronakrise mein job verlieren werden , können ich deutschen sich kein weit anreiz erlauben , sämtliche wirtschaftsflüchtlinge und sozialtouristen aus europa und der ganz welt anzulocken .;RACISM
von der fdp bis zu der linke haben ich platz für theatralisch heulend migranten in weit entfernen land , aber der elend mein mitbürger sein ich egal .;RACISM
der leute erkennen sich land und mein kultur nicht wieder , weil ich immer wenig sich land sein .;RACISM
diese schwäche werden von einer politisch islam ausnutzen , der immer aggressiv auftreten .;RACISM
diese mensch , meinen dame und herr , sein nicht willens , sich in mein gesellschaft zu integrieren .;RACISM
ich wollen sich nicht an mein gesetz halten .;RACISM
ich stellen mein religiös fanatismus über freiheit , rechtsstaatlichkeit und demokratie .;RACISM
der bürger wissen aus eigen erfahrung : auch in der zweit und dritt generation legen einen beachtlich zahl deutsch staatsbürger mit migrationshintergrund mangelnd bereitschaft oder fähigkeit zur integration an der tag .;RACISM
um der ganze debakel zu verdeutlichen , reichen einen blick auf der häufig vorname im gut deutschland , der ich jemals haben . sein mohammed 2017 noch auf platz sieben , können ich sich im folgejahr 2018 auf der sechsten platz vorkämpfen , um im jahr 2019 mit der dritt platz endlich auf der podium zu stehen . meine dame und herr , ich sein absehen , wann mohammed der rennen auch in deutschland endgültig gewinnen werden .;RACISM
