TEXT;LABEL
Der Islam gehört nicht zu Deutschland.;RACISM
In Deutschland leben mittlerweile mehrere Millionen Muslime, die genaue Anzahl ist unbekannt. Die allermeisten von ihnen sind friedlich und haben nichts Böses im Sinn. Diese Leute sind aber nicht friedlich, weil sie Muslime sind, sondern obwohl sie Muslime sind.;RACISM
Wenn man so vorgeht, kommt man zu folgendem Ergebnis: Da, wo der Islam zu Hause ist, gibt es keine Freiheit, keine Demokratie, keinen Rechtsstaat, der unseren Vorstellungen auch nur annähernd gleichkommt. Stattdessen findet man dort Intoleranz, Frauenfeindlichkeit, Hass auf Homosexuelle, Christenverfolgung, Steinigung, Enthauptung und beispiellose Grausamkeit gegenüber Tieren.;RACISM
Es ist eine Illusion, zu glauben, es gäbe auch nur eine einzige Spielart des Islam, die mit unseren Wertvorstellungen, mit unserem Grundgesetz kompatibel wäre.;RACISM
Islam und Grundgesetz schließen sich aus.;RACISM
Versuche im islamischen Kulturkreis, diesen einzuhegen, müssen als gescheitert angesehen werden.;RACISM
Die jüngsten Anschläge in Nizza, Dresden und Wien haben gezeigt, dass der liberale Umgang mit dem Islam in den europäischen Ländern verfehlt war und weiterhin ist.;RACISM
Diese können nur darin bestehen, die Islamisierung unserer Heimat auf allen Ebenen zurückzudrängen und endlich den Mut und die Kraft aufzubringen, dieses Land vor der weiteren Islamisierung zu schützen und zu verteidigen.;RACISM
Schluss mit der weichen Welle gegenüber radikalen Islamisten! Es ist unser Land! Es ist unsere Kultur! Und das soll auch so bleiben!;RACISM
Konkret heißt das, dass man die Einflussnahme von Imanen, die ungestört Hass predigen, unterbinden muss. Solche Personen müssen sofort ausgewiesen werden, wenn dies rechtlich möglich ist. Zudem sollten Predigten nur noch in deutscher Sprache erlaubt sein.;RACISM
Es kann nicht sein, dass die Muslimbrüder, die Milli-Görüs-Bewegung sowie Salafisten in Deutschland schalten und walten können, wie sie wollen, und von liberalen Toleranzschwachmaten dabei noch in Schutz genommen werden.;RACISM
Nicht wenige Muslime vertreten eine Form von Islamismus und nutzen das ihnen garantierte Recht auf Religionsfreiheit, um anderen Menschen ihr radikalislamisches Weltbild zu vermitteln.;RACISM
Ertüchtigen Sie doch lieber die Gesundheitsämter, größere Infektionsherde zu lokalisieren: Superspreader-Events in der großstädtischen Erlebnisszene, oft migrantisch geprägt.;RACISM
Diese Menschen, meine Damen und Herren, sind nicht willens, sich in unsere Gesellschaft zu integrieren. Sie wollen sich nicht an unsere Gesetze halten. Sie stellen ihren religiösen Fanatismus über Freiheit, Rechtsstaatlichkeit und Demokratie.;RACISM
Nur mit Aufklärung, klarer Kommunikation und konsequenter Rechtsstaatlichkeit lässt sich der politische Islam und damit letztlich die Wurzel des Terrors entschieden bekämpfen.;RACISM
Wir brauchen dringend ein ungeschöntes, realistisches Kriminalitätslagebild, das eben auch Herkunftsländerbezüge bei Migranten umfasst. Nur so können wir im Bereich der Sicherheits-, der Migrations-, der Integrations-, der Bildungs- und der Sozialpolitik sachgerechte und zielführende Entscheidungen treffen.;RACISM
Der Gesetzentwurf leitet das Aufenthaltsrecht der Eltern als Voraussetzung für den Sozialleistungsbezug aus dem Schulbesuch der Kinder ab. Im Ergebnis haben arbeitslos gewordene EU-Bürger mit Kindern, die in Deutschland zur Schule gehen, in der Regel ein Aufenthaltsrecht und Recht auf deutsche Sozialleistungen wie deutsche Staatsbürger. Damit haben Sie einen weiteren Pull-Faktor für die Einwanderung in das deutsche Sozialsystem geschaffen.;RACISM
In Anbetracht der 5 Millionen zusätzlichen Arbeitslosen, die dank Ihrem verheerenden Versagen in der Coronakrise ihren Job verlieren werden, können wir Deutsche uns keine weiteren Anreize erlauben, sämtliche Wirtschaftsflüchtlinge und Sozialtouristen aus Europa und der ganzen Welt anzulocken.;RACISM
Bisher wird in der Polizeilichen Kriminalstatistik nur zwischen „deutsch“ und „nichtdeutsch“ unterschieden, das ist unseres Erachtens unzureichend. Wir müssen zukünftig bei deutschen Tatverdächtigen Herkunftsländerbezüge ermitteln und diese auch in der Polizeilichen Kriminalstatistik darstellen. Nur so kann das Problem in seinem vollen Umfang erfasst und dargestellt werden.;RACISM
Ihr Märchen vom ach so sicheren Deutschland und einer heilen Multikultiwelt nimmt Ihnen doch sowieso keiner mehr ab. Die Realität lässt sich eben nicht verheimlichen.Wir brauchen dringend ein ungeschöntes, realistisches Kriminalitätslagebild, das eben auch Herkunftsländerbezüge bei Migranten umfasst.;RACISM
Wo waren die Demonstrationen gemäßigter Muslime? Richtig, die verstummen schon lange in diesem Land, in dem längst radikale Muslime den Ton angeben und wirkliche Flüchtlinge ihre Folterknechte und Vergewaltiger in Auffanglagern und auf den Straßen Deutschlands treffen.;RACISM
